Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
30.65740425,-8.228611756,-8.499514427,11.0482824,16.18691882
30.66740325,-6.945437942,-7.837992023,11.4012449,15.48100812
30.67740325,-7.253783843,-6.86890666,9.805570734,13.99815974
30.68740325,-8.369636073,-5.424508739,7.33907133,12.38297505
30.69740225,-9.764781727,-3.632271068,4.539564809,11.36450632
30.70740225,-10.59399818,-1.890746444,1.752429242,10.9031522
30.71740225,-10.77219676,-0.1136328886,-1.088832246,10.8276817
30.72740225,-10.61900672,1.233587086,-3.98208893,11.40798287
30.73740125,-10.16977333,2.119738466,-6.425592989,12.21498367
30.74740125,-9.60965802,2.652664225,-7.666080959,12.57580821
30.75740125,-8.944949468,2.875452497,-7.654862491,12.11929321
30.76740025,-7.988747275,2.823914261,-6.405817705,10.62210315
30.77740025,-7.381804537,2.592989004,-4.638230141,9.095482892
30.78740025,-7.389776046,2.300553085,-2.926650133,8.274455601
30.79740025,-7.744351788,1.899647807,-1.503344872,8.114412622
30.80739925,-7.493413265,1.449126565,-0.6618784994,7.660893767
30.81739925,-7.047750183,0.8246904185,-0.4472272128,7.109916252
30.82739925,-6.768056223,0.1174372333,-0.8218343461,6.81878202
30.83739825,-6.483387453,-0.4701272482,-1.194490263,6.609246514
30.84739825,-6.163350044,-0.7826503998,-1.519394894,6.395935136
30.85739825,-5.852033173,-1.12770015,-2.069892122,6.308918551
30.86739825,-5.667551181,-1.498923792,-2.081657889,6.221029536
30.87739725,-5.532268245,-1.455442435,-1.601702056,5.940517999
30.88739725,-5.867432985,-1.40011228,-1.124857526,6.136154226
30.89739725,-6.44551913,-1.796645595,-0.7884081531,6.737524743
30.90739625,-6.294934031,-2.059035012,-0.546031124,6.645597763
30.91739625,-5.745096955,-2.385301459,-0.2004671109,6.223824317
30.92739625,-5.007919766,-2.795274599,0.4538942081,5.753159169
30.93739625,-4.244221362,-2.900749598,1.368036793,5.319707499
30.94739525,-3.740285513,-2.845548374,1.686038201,4.992955646
30.95739525,-3.726358615,-2.910818211,1.302505293,4.904603065
30.96739525,-3.578853244,-2.694624722,0.7307341415,4.539070975
30.97739425,-3.12083441,-2.249364805,0.17872307,3.851128585
30.98739425,-2.531487113,-1.731714604,-0.6237885672,3.129916077
30.99739425,-2.026368372,-1.78799727,-1.858228762,3.279651986
31.00739425,-1.622859183,-1.769668588,-1.970854906,3.10639146
