"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.096977917E0,8.236440593E-1,1.084874266E0,-1.136730883E0,1.774119164E0
1.106976917E0,6.215761270E-1,1.056877505E0,-7.979022771E-1,1.462872170E0
1.116976917E0,4.799035004E-1,1.166308438E0,-5.118190652E-1,1.361081004E0
1.126976917E0,2.999621630E-3,1.149570491E0,1.047177851E-2,1.149622099E0
1.136976917E0,-1.738595022E-1,1.002405429E0,2.875192881E-1,1.057218573E0
1.146976917E0,-2.180844793E-1,1.061040722E0,5.360680532E-1,1.208609620E0
1.156976917E0,-2.610641456E-1,1.147603195E0,6.161281300E-1,1.328443245E0
1.166976917E0,-5.122856730E-1,6.826109719E-1,2.442580783E-1,8.877253847E-1
1.176976917E0,-7.896122409E-1,5.939002320E-1,-2.083702075E-1,1.009763893E0
1.186975917E0,-7.384065655E-1,8.660860741E-1,-4.915760046E-1,1.239756554E0
1.196975917E0,-4.454278784E-1,9.506312576E-1,-6.886002749E-1,1.255498356E0
1.206975917E0,-3.819964059E-1,8.872608885E-1,-8.832833201E-1,1.308947120E0
1.216975917E0,-6.036111416E-1,8.618523976E-1,-7.282157457E-1,1.279622654E0
1.226975917E0,-7.307073905E-1,9.018315652E-1,-1.988351530E-1,1.177611515E0
1.236975917E0,-6.276414438E-1,9.028443030E-1,4.412379098E-1,1.184800620E0
1.246974917E0,-5.225918292E-1,8.381720513E-1,9.127000773E-1,1.344862833E0
1.256974917E0,-4.899574953E-1,7.241150934E-1,1.242562562E0,1.519329700E0
1.266974917E0,-5.825616038E-1,6.269653594E-1,1.479429760E0,1.709144815E0
1.276974917E0,-7.285018207E-1,6.100686604E-1,1.610389264E0,1.869826798E0
1.286974917E0,-7.521548313E-1,6.249325749E-1,1.704776189E0,1.965334442E0
1.296974917E0,-5.766760889E-1,8.626713002E-1,1.486701357E0,1.813019032E0
1.306974917E0,-3.938414030E-1,9.482292214E-1,9.523354286E-1,1.400425819E0
1.316974917E0,-1.541283654E-1,4.491956779E-1,6.561336100E-1,8.099651994E-1
1.326973917E0,2.256763579E-1,1.427428132E-1,5.101818448E-1,5.758392519E-1
1.336973917E0,5.766584010E-1,2.801286998E-1,3.696598041E-1,7.400374117E-1
1.346973917E0,6.263246508E-1,5.729484889E-1,3.865114796E-1,9.327077050E-1
1.356973917E0,5.062656721E-1,7.716187504E-1,7.919521505E-1,1.216095652E0
1.366973917E0,4.112975344E-1,7.381726769E-1,1.601783332E0,1.811014745E0
1.376973917E0,3.738918726E-1,5.676006255E-1,2.565206836E0,2.653724122E0
1.386973917E0,3.366518332E-1,3.591459256E-1,3.254010594E0,3.291034062E0
1.396972917E0,1.892699853E-1,1.518668085E-1,3.588670719E0,3.596865884E0
1.406972917E0,-1.643932986E-1,-1.551701930E-1,3.384098863E0,3.391640910E0
1.416972917E0,-4.901422673E-1,-4.821467847E-1,2.914377412E0,2.994378176E0
1.426972917E0,-7.712924758E-1,-7.351932281E-1,2.426733075E0,2.650364990E0
1.436972917E0,-8.642012241E-1,-9.170311099E-1,1.870274026E0,2.255152932E0
1.446972917E0,-6.084508820E-1,-8.377773643E-1,1.109920814E0,1.517895781E0
1.456971917E0,-2.183189526E-1,-6.693828160E-1,1.481275141E-1,7.194986309E-1
1.466971917E0,-1.264679655E-2,-4.962821361E-1,-9.054664868E-1,1.032630359E0
1.476971917E0,1.613837367E-1,-2.963737267E-1,-1.925489869E0,1.954838441E0
1.486971917E0,3.370813112E-1,-1.499214399E-1,-2.765812526E0,2.790308079E0
1.496971917E0,5.889444244E-1,-1.200953776E-1,-3.161111201E0,3.217748042E0
1.506971917E0,7.579808508E-1,-2.258861268E-1,-3.046984076E0,3.147963068E0
1.516971917E0,8.949521698E-1,-3.732573035E-1,-2.520713618E0,2.700788319E0
1.526970917E0,9.724625681E-1,-3.923478779E-1,-1.865487496E0,2.140014930E0
1.536970917E0,1.030343864E0,-2.705497912E-1,-1.263443554E0,1.652602578E0
1.546970917E0,9.982771482E-1,-2.796211615E-1,-8.507874191E-1,1.341113154E0
1.556970917E0,8.646941444E-1,-4.089750203E-1,-6.032198167E-1,1.130853960E0
1.566970917E0,6.581896372E-1,-6.521300215E-1,-5.461492378E-1,1.075530638E0
1.576970917E0,4.323248528E-1,-9.961644030E-1,-4.420588589E-1,1.172460801E0
1.586970917E0,1.713567477E-1,-1.394400135E0,-5.923229456E-2,1.406137737E0
1.596970917E0,5.991203338E-3,-1.527532757E0,5.989636284E-1,1.640777147E0
1.606969917E0,6.543575183E-2,-1.449526807E0,6.654382843E-1,1.596313851E0
1.616969917E0,2.141016483E-2,-1.300223418E0,7.260195315E-2,1.302424806E0
1.626969917E0,-1.764435330E-1,-1.134207224E0,-4.849078399E-1,1.246071411E0
1.636969917E0,-1.478168808E-1,-9.771337625E-1,-6.333727384E-1,1.173797787E0
1.646969917E0,6.573542163E-2,-8.661211574E-1,-4.801248175E-1,9.924751107E-1
1.656969917E0,1.209933637E-1,-6.715000927E-1,-2.773708606E-1,7.365367356E-1
1.666968917E0,1.076760377E-1,-4.066320410E-1,-1.990935999E-1,4.653837206E-1
1.676968917E0,1.893559393E-1,-2.424656144E-1,-3.679945171E-1,4.796511342E-1
1.686968917E0,2.728657271E-1,-3.084032035E-1,-6.105054474E-1,7.364001237E-1
1.696968917E0,2.834141041E-1,-4.124611303E-1,-8.268541807E-1,9.665068932E-1
1.706968917E0,3.820863068E-1,-3.257089153E-1,-1.103021684E0,1.211912983E0
1.716968917E0,4.298872948E-1,-1.937010053E-1,-1.310966799E0,1.393182369E0
1.726968917E0,3.921864948E-1,-8.891217649E-2,-1.396741360E0,1.453479291E0
1.736968542E0,4.704231173E-1,5.813301802E-3,-1.382548413E0,1.460401253E0
1.746968542E0,6.718915638E-1,5.155431569E-2,-1.301850990E0,1.465916819E0
1.756968542E0,7.068975283E-1,3.026577294E-2,-1.235579817E0,1.423824995E0
1.766968542E0,5.872393763E-1,9.380044878E-2,-1.220369455E0,1.357553025E0
1.776968542E0,4.604157539E-1,1.377273640E-1,-1.100319686E0,1.200689346E0
1.786968542E0,3.583941199E-1,2.299262604E-1,-9.824485892E-1,1.070755649E0
1.796968542E0,2.549773403E-1,3.841302010E-1,-9.694981760E-1,1.073543743E0
1.806967542E0,1.092141478E-1,5.331947315E-1,-9.488288534E-1,1.093846673E0
1.816967542E0,9.793355316E-2,6.978496930E-1,-8.572029841E-1,1.109676588E0
1.826967542E0,2.035633577E-1,8.994219276E-1,-5.743468505E-1,1.086403309E0
1.836967542E0,1.856790639E-1,1.040228728E0,-1.795025039E-1,1.071808598E0
1.846967542E0,1.270740294E-1,1.116291063E0,1.462183982E-1,1.132975448E0
1.856967542E0,8.380214855E-2,1.169608607E0,3.280609578E-1,1.217633395E0
1.866967542E0,9.437157556E-2,1.188228480E0,3.758292013E-1,1.249816188E0
1.876966542E0,1.322686958E-1,1.201661289E0,2.779415488E-1,1.240458127E0
1.886966542E0,1.603806469E-1,1.188757069E0,2.320982087E-1,1.221775306E0
1.896966542E0,2.109473678E-1,1.160278789E0,3.093598080E-1,1.219200210E0
1.906966542E0,1.665308945E-1,1.076848378E0,4.029836708E-1,1.161779155E0
1.916966542E0,8.815306172E-2,1.107794474E0,6.128694767E-1,1.269089656E0
1.926966542E0,5.003784031E-2,1.094680339E0,8.621707785E-1,1.394333992E0
1.936966542E0,7.276523665E-2,1.027929402E0,1.004753963E0,1.439258198E0
1.946965542E0,1.658789299E-1,1.013193541E0,1.077063555E0,1.487999622E0
1.956965542E0,3.049222098E-1,1.043516032E0,1.006785285E0,1.481728678E0
1.966965542E0,3.633660074E-1,9.783616778E-1,9.245728487E-1,1.394296016E0
1.976965542E0,3.406440197E-1,9.653115696E-1,8.937206000E-1,1.358897084E0
1.986965542E0,5.252331626E-1,1.421124834E0,8.381100708E-1,1.731442797E0
1.996965542E0,6.682241902E-1,2.132598247E0,1.924084783E-1,2.243104963E0
2.006964542E0,3.831895302E-1,1.589496286E0,-2.703623879E-1,1.657235191E0
2.016964542E0,2.979827343E-1,4.920388117E-1,1.010357934E-1,5.840412089E-1
2.026964542E0,1.749833371E-1,9.636211395E-3,4.325325751E-1,4.666866758E-1
2.036964542E0,-2.020191081E-1,7.946950793E-2,6.174870229E-1,6.545359777E-1
2.046964542E0,-4.409005255E-1,2.234253260E-1,1.141554835E0,1.243969289E0
